country, Average Degree, Diameter, Radius, Average Path Length, Graph Density, Modularity, CommunityNumber, Connected Components, Averge Clustering Coefficient, Total Triangles
AE, 2.769230769230769, 6.0, 3.0, 2.7800269905533064, 0.0728744939271255, 0.39, 5, 1, 0.3413822014612528, 8
AF, 2.1818181818181817, 3.0, 2.0, 1.981060606060606, 0.06818181818181818, 0.191, 2, 1, 0.7125448028673835, 4
AL, 2.8205128205128207, 6.0, 3.0, 2.8461538461538463, 0.07422402159244265, 0.455, 4, 1, 0.06961904761904762, 4
AM, 3.0588235294117645, 7.0, 4.0, 2.9286274509803922, 0.0611764705882353, 0.449, 5, 1, 0.05024630541871921, 3
AO, 2.3870967741935485, 5.0, 1.0, 2.6509186351706036, 0.07956989247311828, 0.485, 5, 2, 0.13869949494949496, 2
AR, 3.707865168539326, 6.0, 1.0, 3.0164367337793285, 0.010444690615603734, 0.476, 9, 2, 0.26042527389880205, 156
AT, 4.37593984962406, 6.0, 3.0, 2.9084016574098563, 0.01099482374277402, 0.437, 12, 1, 0.4806146230503297, 958
AU, 5.136200716845878, 8.0, 4.0, 3.024866194127007, 0.00460645804201424, 0.391, 16, 1, 0.5349582325564325, 4333
AW, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
AZ, 2.2222222222222223, 5.0, 3.0, 2.3984126984126983, 0.06349206349206349, 0.355, 4, 1, 0.0, 0
BA, 2.6666666666666665, 7.0, 4.0, 3.03988603988604, 0.10256410256410256, 0.409, 5, 1, 0.1825, 3
BB, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
BD, 3.302325581395349, 7.0, 1.0, 3.640772399131937, 0.015431427950445555, 0.541, 9, 2, 0.057977693459059926, 19
BE, 2.188976377952756, 17.0, 1.0, 5.368010167029775, 0.017372828396450445, 0.721, 14, 7, 0.07238072211476466, 3
BF, 2.0, 3.0, 2.0, 1.7333333333333334, 0.4, 0.167, 2, 1, 0.0, 0
BG, 3.3606237816764133, 7.0, 1.0, 3.3102159532178104, 0.006563718323586745, 0.56, 12, 2, 0.2141497833148089, 115
BH, 2.111111111111111, 7.0, 4.0, 3.241830065359477, 0.12418300653594772, 0.503, 4, 1, 0.0, 0
BI, 1.8, 3.0, 2.0, 1.9555555555555555, 0.2, 0.0, 1, 1, 0.0, 0
BJ, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
BM, 2.0, 3.0, 2.0, 1.7333333333333334, 0.4, 0.167, 3, 1, 0.0, 0
BN, 1.6, 4.0, 2.0, 2.0, 0.4, 0.219, 2, 1, 0.0, 0
BO, 2.0, 6.0, 3.0, 2.857142857142857, 0.15384615384615385, 0.431, 3, 1, 0.0, 0
BQ, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
BR, 11.16395078150981, 7.0, 1.0, 3.2346754001485762, 0.0037138891488721925, 0.281, 18, 2, 0.5468976998353386, 142206
BT, 1.6, 3.0, 2.0, 1.8, 0.4, 0.219, 2, 1, 0.0, 0
BW, 2.0, 4.0, 2.0, 2.076923076923077, 0.16666666666666666, 0.275, 3, 1, 0.3388888888888889, 1
BY, 2.3908045977011496, 6.0, 3.0, 2.8393477679764767, 0.027800053461641272, 0.555, 7, 1, 0.2371214773788303, 7
CA, 4.232606438213915, 10.0, 1.0, 3.3039989157261247, 0.004399798792322157, 0.528, 19, 4, 0.41056478682137315, 1528
CD, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.5, 2, 2, NaN, 0
CG, 1.4285714285714286, 2.0, 1.0, 1.4444444444444444, 0.23809523809523808, 0.48, 2, 2, 0.0, 0
CH, 5.355140186915888, 7.0, 1.0, 2.876201312330159, 0.012541311913151961, 0.367, 12, 2, 0.6581742061003497, 2329
CI, 1.6666666666666667, 4.0, 2.0, 2.1333333333333333, 0.3333333333333333, 0.3, 2, 1, 0.0, 0
CL, 3.435114503816794, 6.0, 4.0, 2.9682912507339987, 0.026423957721667644, 0.484, 7, 1, 0.21278080972112579, 37
CM, 1.75, 2.0, 1.0, 1.75, 0.25, 0.0, 1, 1, 0.0, 0
CN, 3.1924528301886794, 7.0, 1.0, 3.289490746198279, 0.0120926243567753, 0.607, 11, 3, 0.07103174752205507, 37
CO, 2.4054054054054053, 5.0, 1.0, 3.2238745980707395, 0.03295075897815624, 0.625, 7, 2, 0.17265689103924398, 4
CR, 2.1, 7.0, 1.0, 2.9115191986644406, 0.05384615384615385, 0.606, 6, 3, 0.2589488636363636, 3
CU, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
CW, 2.1333333333333333, 7.0, 4.0, 3.123809523809524, 0.1523809523809524, 0.455, 3, 1, 0.0, 0
CY, 2.9047619047619047, 6.0, 1.0, 2.7170294494238156, 0.07084785133565621, 0.417, 6, 2, 0.09335143148168358, 3
CZ, 3.4269340974212033, 8.0, 4.0, 3.385008069031387, 0.009847511774198861, 0.526, 16, 1, 0.28584248422694414, 206
DE, 5.438985736925515, 8.0, 1.0, 3.177459820588258, 0.004313232146649893, 0.414, 28, 8, 0.44752105684196575, 6393
DK, 2.8598130841121496, 6.0, 1.0, 3.022264943890553, 0.013426352507568778, 0.551, 11, 2, 0.33097210058250826, 45
DO, 2.1333333333333333, 7.0, 4.0, 3.104761904761905, 0.1523809523809524, 0.436, 4, 1, 0.0, 0
DZ, 1.3333333333333333, 2.0, 1.0, 1.4285714285714286, 0.26666666666666666, 0.375, 2, 2, 0.0, 0
EC, 2.8627450980392157, 5.0, 3.0, 2.9411764705882355, 0.05725490196078432, 0.494, 5, 1, 0.20925222489928375, 8
EE, 2.440677966101695, 6.0, 1.0, 2.780946208684381, 0.04208065458796026, 0.453, 5, 2, 0.04651059085841695, 1
